Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted total",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2020-0495-HND,2020,495,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Iota,Honduras,HND,Central America,Americas,"Sulla Valley, San Pedro Sula, Santa Barbara, Central District, Santa Rosa de Aguan, Tocoa Copán, Choluteca (Sula Valley); Comayagua; Puerto Cortés, Yoro, Atlántida, Santa Barbara, Olancho, departments",,,,,,,,,Kph,,,,,2020,11,17,2020,11,18,14,,578000,,578000,,,,,,,95.51296742,1;2,1420;1421;1423;1424;1434;1436;1438,17238;17240;17291;17295;17301,"Atlantida, Choluteca, Comayagua, Copan, Olancho, Santa Barbara, Yoro (Adm1). Distrito Central, Puerto Cortes, San Pedro Sula, Santa Rosa De Aguan, Tocoa (Adm2)."
2020-0376-HTI,2020,376,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Laura,Haiti,HTI,Caribbean,Americas,,,,,,,,,,Kph,,,,,2020,8,23,2020,8,23,39,,44175,,44175,,,,,,,95.51296742,1,1409;1410;1412;1413;1414;1415;1416;1417;72911;72912,,"Artibonite, Centre, Grande Anse, Nippes, Nord, Nord Est, Nord Ouest, Ouest, Sud, Sud Est (Adm1)."
2020-0416-MEX,2020,416,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Gamma,Mexico,MEX,Central America,Americas,"Tabasco, Quintana Roo, Yucatán, Campeche",,,,,,,,56,Kph,,,,,2020,10,2,2020,10,6,6,,3500,,3500,,,,,100000,104698,95.51296742,1,2031;2050;2054;2058,,"Campeche, Quintana Roo, Tabasco, Yucatan (Adm1)."
2020-0474-MEX,2020,474,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Eta,Mexico,MEX,Central America,Americas,"Chiapas, San Cristobal de Las Casas, Tabasco",,,,,,,,,Kph,,,,,2020,11,2,2020,11,4,31,,,,,,,,,,,95.51296742,1,2032;2054,,"Chiapas, Tabasco (Adm1)."
2020-0483-MEX,2020,483,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Zeta,Mexico,MEX,Central America,Americas,"Quintana Roo, Yucatán, Chiapas, Campeche,Tabasco",,,,,,,,110,Kph,,,,,2020,10,7,2020,10,11,,,,,,,,,,100000,104698,95.51296742,1,2031;2032;2050;2054;2058,,"Campeche, Chiapas, Quintana Roo, Tabasco, Yucatan (Adm1)."
2020-0495-NIC,2020,495,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Iota,Nicaragua,NIC,Central America,Americas,"Waspam, Bilwi/Puerto Cabezas, Prinzapolka, La Cruz de Rio Grande, Laguna de Perlas",,,,,,,,,Kph,,,,,2020,11,17,2020,11,18,18,,900000,,900000,,,,,741000,775811,95.51296742,2,,22394;22395;22400;22405;22407,"Isla, La Cruz De Rio Grande, Prinzapolka, Puerto Cabezas, Waspam (Adm2)."
2020-0474-PAN,2020,474,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Eta,Panama,PAN,Central America,Americas,"Bocas del Toro, Chiriquí, Coclé, Colón, Comarca Ngäbe Buglé, Herrera, Veraguas",,,,,,,,,Kph,,,,,2020,11,3,2020,11,4,79,,5000,,5000,,,,,11000,11517,95.51296742,1,2282;2283;2286;93668;93669;93672;93673,,"Bocas del Toro, Chiriquí, Coclé, Colon, Herrera, Ngöbe Buglé, Veraguas (Adm1)."
2020-0495-PAN,2020,495,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Iota,Panama,PAN,Central America,Americas,"Nole Duima, Soloy (Ngäbe-Buglé Comarca)",,,,,,,,,Kph,,,,,2020,11,17,2020,11,18,4,,,,,,,,,,,95.51296742,2,,93683;93688,"Besiko, Nole Duima (Adm2)."
2021-0359-MEX,2021,359,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Enrique,Mexico,MEX,Central America,Americas,"Guerrero, Michoacán, Colima, Jalisco, and Nayarit states",,Flood,"Slide (land, mud, snow, rock)",,,,,93,Kph,,,,,2021,6,25,2021,6,30,2,,621,,621,,,,,50000,50000,100,1,2035;2039;2041;2043;2045,,"Colima, Guerrero, Jalisco, Michoacan, Nayarit (Adm1)."
2021-0528-MEX,2021,528,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Grace,Mexico,MEX,Central America,Americas,"Xalapa City (Veracruz State); Tamaulipas state; Huauchinango, Tlaola (Puebla state)",,Flood,"Slide (land, mud, snow, rock)",,,,,205,Kph,,,,,2021,8,21,2021,8,23,13,,,,,,,,,500000,500000,100,1;2,2055,20649;20757;21266,"Tamaulipas (Adm1). Huauchinango, Tlaola, Xalapa (Adm2)."
2021-0552-MEX,2021,552,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cylone Nora,Mexico,MEX,Central America,Americas,"Michoacan, Colima and Jalisco States",,Flood,"Slide (land, mud, snow, rock)",,,,,110,Kph,,,,,2021,8,28,2021,8,30,2,3,1500,,1503,,,,,100000,100000,100,1,2035;2041;2043,,"Colima, Jalisco, Michoacan (Adm1)."
2021-0325-MEX,2021,325,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Dolores,Mexico,MEX,Central America,Americas,"Yage municipality (Central Valley Region, Oaxaca State); Guerrero, Michoacán, Colima, and Jalisco states",,Lightening,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2021,6,18,2021,6,20,3,,600,,600,,,,,50000,50000,100,1,2035;2039;2041;2043;2047,,"Colima, Guerrero, Jalisco, Michoacan, Oaxaca (Adm1)."
2021-0702-MEX,2021,702,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Rick,Mexico,MEX,Central America,Americas,"Guerrero, Michoacán States; Jalisco, Colima, Guanajuato, and Nayarit",,Flood,,,,,,165,Kph,,,,,2021,10,25,2021,10,26,,,150,,150,,,,,10000,10000,100,1,2035;2038;2039;2041;2043;2045,,"Colima, Guanajuato, Guerrero, Jalisco, Michoacan, Nayarit (Adm1)."
2021-0373-HTI,2021,373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Elsa,Haiti,HTI,Caribbean,Americas,"Sud-Est, Sud, Ouest, Nippes, Grande-Anse departments",,,,,,,,,Kph,,,,,2021,7,3,2021,7,3,,3,,,3,,,,,,,100,1,1415;1416;1417;72911;72912,,"Grande Anse, Nippes, Ouest, Sud, Sud Est (Adm1)."
2021-0510-HTI,2021,510,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Fred,Haiti,HTI,Caribbean,Americas,,,,,,,,,,Kph,,,,,2021,8,12,2021,8,13,,,,,,,,,,,,100,,,,
2021-0373-LCA,2021,373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Elsa,Saint Lucia,LCA,Caribbean,Americas,Soufrière,,,,,,,,,Kph,,,,,2021,7,3,2021,7,3,1,,,,,,,,,34000,34000,100,,,,
2020-0218-SLV,2020,218,TC-2020-000142,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Amanda,El Salvador,SLV,Central America,Americas,"La Libertad, Santa Ana, San Salvador",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,,Kph,,,,,2020,5,31,2020,5,31,32,,149840,,149840,,,,,220000,230335,95.51296742,1,1188;1193;1195,,"La Libertad, San Salvador, Santa Ana (Adm1)."
2020-0312-PRI,2020,312,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaias,Puerto Rico,PRI,Caribbean,Americas,"Yauco, Jayuya, Mayagüez cities",,,,,,,,,Kph,,,,,2020,8,2,2020,8,2,1,,,,,,,,,59800,62609,95.51296742,2,,40080;40084;40087,"Jayuya Municipio, Mayaguez Municipio, Yauco Municipio (Adm2)."
2020-0474-SLV,2020,474,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Eta,El Salvador,SLV,Central America,Americas,"La Union, department of La Union",,,,,,,,,Kph,,,,,2020,11,2,2020,11,4,,,,,,,,,,,,95.51296742,2,,15687,La Union (Adm2).
2020-0495-SLV,2020,495,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Iota,El Salvador,SLV,Central America,Americas,,,,,,,,,,Kph,,,,,2020,11,17,2020,11,18,1,,,,,,,,,,,95.51296742,,,,
2021-0373-VCT,2021,373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Elsa,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,Northern half of St. Vincent,,,,,,,,,Kph,,,,,2021,7,2,2021,7,3,,,129,,129,,,,,,,100,,,,
2022-0333-MEX,2022,333,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Agatha,Mexico,MEX,Central America,Americas,"Coastal and Santiago Xanica (Sierra Sur Regions of Oaxaca); Chiapas, Guerrero, Tabasco, and Veracruz states",,Flood,"Slide (land, mud, snow, rock)",,,,,16,Kph,,,,,2022,5,30,2022,5,31,31,,,,,,,,,,,,,,,
